CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
1,3e,PR1,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,15,1.36,16.30,0.92,0.22,0.00,0.19,0.00,0.00,0.00,0.94,0.00,0.55,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,25,3.45,40.86,1.97,0.61,0.00,0.51,0.00,0.00,0.00,2.46,0.00,1.41,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,35,6.18,73.08,3.13,0.98,0.00,0.80,0.00,0.00,0.00,4.38,0.00,2.53,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,45,9.29,110.15,4.27,1.21,0.00,0.97,0.00,0.00,0.00,6.40,0.00,3.79,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,55,12.48,148.76,5.29,1.33,0.00,1.04,0.00,0.00,0.00,8.22,0.00,5.03,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,65,15.42,185.47,6.09,1.37,0.00,1.06,0.00,0.00,0.00,9.63,0.00,6.14,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,75,17.85,217.10,6.60,1.36,0.00,1.04,0.00,0.00,0.00,10.50,0.00,7.01,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,85,19.57,241.06,6.80,1.32,0.00,0.99,0.00,0.00,0.00,10.78,0.00,7.56,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,95,20.44,255.66,6.69,1.25,0.00,0.92,0.00,0.00,0.00,10.54,0.00,7.76,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,105,20.45,260.16,6.31,1.16,0.00,0.84,0.00,0.00,0.00,9.87,0.00,7.64,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,115,19.66,254.87,5.71,1.05,0.00,0.74,0.00,0.00,0.00,8.89,0.00,7.23,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,125,18.22,240.95,4.98,0.93,0.00,0.65,0.00,0.00,0.00,7.73,0.00,6.59,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,135,16.30,220.24,4.18,0.80,0.00,0.55,0.00,0.00,0.00,6.52,0.00,5.81,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,145,14.10,194.90,3.38,0.67,0.00,0.45,0.00,0.00,0.00,5.33,0.00,4.95,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,155,11.81,167.17,2.65,0.55,0.00,0.36,0.00,0.00,0.00,4.23,0.00,4.09,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,165,9.59,139.11,2.00,0.44,0.00,0.28,0.00,0.00,0.00,3.27,0.00,3.28,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,175,7.55,112.39,1.47,0.35,0.00,0.22,0.00,0.00,0.00,2.46,0.00,2.56,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,185,5.77,88.20,1.04,0.26,0.00,0.16,0.00,0.00,0.00,1.80,0.00,1.93,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,195,4.28,67.28,0.71,0.19,0.00,0.12,0.00,0.00,0.00,1.29,0.00,1.42,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,205,3.09,49.90,0.48,0.14,0.00,0.08,0.00,0.00,0.00,0.89,0.00,1.02,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,215,2.16,36.00,0.31,0.10,0.00,0.05,0.00,0.00,0.00,0.61,0.00,0.71,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,225,1.47,25.26,0.19,0.07,0.00,0.04,0.00,0.00,0.00,0.40,0.00,0.48,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,235,0.98,17.25,0.12,0.04,0.00,0.02,0.00,0.00,0.00,0.26,0.00,0.32,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,245,0.63,11.47,0.07,0.03,0.00,0.01,0.00,0.00,0.00,0.16,0.00,0.20,0.00,0.00,0.00,0.00
1,3e,PR1,Prsnt,255,0.39,7.42,0.04,0.02,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.12,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,15,0.94,28.45,3.63,0.33,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.24,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,25,2.03,60.81,6.63,0.79,0.00,0.00,0.00,0.00,0.00,4.66,0.00,0.53,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,35,3.18,94.89,9.19,1.11,0.00,0.00,0.00,0.00,0.00,7.24,0.00,0.84,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,45,4.28,128.22,11.24,1.24,0.00,0.00,0.00,0.00,0.00,9.49,0.00,1.12,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,55,5.30,159.65,12.83,1.25,0.00,0.00,0.00,0.00,0.00,11.24,0.00,1.38,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,65,6.21,188.65,13.99,1.22,0.00,0.00,0.00,0.00,0.00,12.48,0.00,1.60,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,75,7.00,215.04,14.78,1.18,0.00,0.00,0.00,0.00,0.00,13.24,0.00,1.77,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,85,7.67,238.84,15.23,1.15,0.00,0.00,0.00,0.00,0.00,13.61,0.00,1.91,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,95,8.23,260.16,15.39,1.12,0.00,0.00,0.00,0.00,0.00,13.66,0.00,2.02,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,105,8.68,279.15,15.30,1.09,0.00,0.00,0.00,0.00,0.00,13.49,0.00,2.09,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,115,9.04,295.98,14.99,1.07,0.00,0.00,0.00,0.00,0.00,13.15,0.00,2.14,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,125,9.30,310.84,14.51,1.05,0.00,0.00,0.00,0.00,0.00,12.71,0.00,2.17,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,135,9.49,323.91,13.88,1.03,0.00,0.00,0.00,0.00,0.00,12.21,0.00,2.18,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,145,9.61,335.37,13.16,1.02,0.00,0.00,0.00,0.00,0.00,11.68,0.00,2.18,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,155,9.66,345.38,12.37,1.00,0.00,0.00,0.00,0.00,0.00,11.14,0.00,2.16,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,165,9.67,354.10,11.54,0.99,0.00,0.00,0.00,0.00,0.00,10.61,0.00,2.14,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,175,9.62,361.68,10.69,0.98,0.00,0.00,0.00,0.00,0.00,10.10,0.00,2.10,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,185,9.54,368.25,9.85,0.97,0.00,0.00,0.00,0.00,0.00,9.61,0.00,2.07,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,195,9.43,373.93,9.03,0.97,0.00,0.00,0.00,0.00,0.00,9.14,0.00,2.03,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,205,9.29,378.82,8.24,0.96,0.00,0.00,0.00,0.00,0.00,8.69,0.00,1.98,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,215,9.13,383.03,7.49,0.96,0.00,0.00,0.00,0.00,0.00,8.27,0.00,1.94,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,225,8.96,386.63,6.79,0.95,0.00,0.00,0.00,0.00,0.00,7.87,0.00,1.89,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,235,8.76,389.71,6.13,0.95,0.00,0.00,0.00,0.00,0.00,7.49,0.00,1.85,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,245,8.56,392.34,5.52,0.94,0.00,0.00,0.00,0.00,0.00,7.13,0.00,1.80,0.00,0.00,0.00,0.00
2,patnt,PR1,Prsnt,255,8.35,394.56,4.96,0.94,0.00,0.00,0.00,0.00,0.00,6.79,0.00,1.75,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,15,0.00,21.55,3.67,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,25,0.00,53.83,7.84,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,35,0.00,95.30,12.32,0.00,0.00,0.00,0.00,0.00,0.00,6.94,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,45,0.00,142.18,16.65,0.00,0.00,0.00,0.00,0.00,0.00,10.03,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,55,0.00,190.40,20.43,0.00,0.00,0.00,0.00,0.00,0.00,12.78,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,65,0.00,235.84,23.35,0.00,0.00,0.00,0.00,0.00,0.00,14.87,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,75,0.00,274.67,25.20,0.00,0.00,0.00,0.00,0.00,0.00,16.13,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,85,0.00,303.78,25.86,0.00,0.00,0.00,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,95,0.00,321.12,25.37,0.00,0.00,0.00,0.00,0.00,0.00,16.08,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,105,0.00,325.89,23.85,0.00,0.00,0.00,0.00,0.00,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,115,0.00,318.52,21.54,0.00,0.00,0.00,0.00,0.00,0.00,13.49,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,125,0.00,300.52,18.72,0.00,0.00,0.00,0.00,0.00,0.00,11.72,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,135,0.00,274.18,15.69,0.00,0.00,0.00,0.00,0.00,0.00,9.85,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,145,0.00,242.24,12.69,0.00,0.00,0.00,0.00,0.00,0.00,8.04,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,155,0.00,207.48,9.92,0.00,0.00,0.00,0.00,0.00,0.00,6.38,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,165,0.00,172.42,7.50,0.00,0.00,0.00,0.00,0.00,0.00,4.92,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,175,0.00,139.13,5.49,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,185,0.00,109.06,3.89,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,195,0.00,83.10,2.68,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,205,0.00,61.58,1.78,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,215,0.00,44.38,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,225,0.00,31.12,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,235,0.00,21.24,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,245,0.00,14.11,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00
3,3e,PR1,Intn1,255,0.00,9.13,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,PR1,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,PR1,Intn1,15,0.94,28.45,3.63,0.33,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.24,0.00,0.00,0.00,0.00
4,patnt,PR1,Intn1,25,2.03,60.81,6.63,0.79,0.00,0.00,0.00,0.00,0.00,4.66,0.00,0.53,0.00,0.00,0.00,0.00
