CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
1,4e_5e,BOG,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,15,0.00,0.00,0.00,0.44,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,25,0.00,0.00,0.00,2.07,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,35,0.00,0.00,0.00,4.55,0.00,0.00,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,45,0.00,0.00,0.00,7.18,0.00,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,55,0.00,0.00,0.00,9.49,0.00,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,65,0.00,0.00,0.00,11.39,0.00,0.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,75,0.00,0.00,0.00,12.97,0.00,0.00,1.84,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,85,0.00,0.00,0.00,14.37,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,95,0.00,0.00,0.00,15.66,0.00,0.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,105,0.00,0.00,0.00,16.90,0.00,0.00,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,115,0.00,0.00,0.00,18.09,0.00,0.00,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,125,0.00,0.00,0.00,19.26,0.00,0.00,2.41,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,135,0.00,0.00,0.00,20.39,0.00,0.00,2.46,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,145,0.00,0.00,0.00,21.50,0.00,0.00,2.48,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4e_5e,BOG,Prsnt,155,0.00,0.00,0.00,22.59,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
