"CURVENO","SUBMU","FU","SI","AC10","PW","PR","PJ","SB","SW","BF","CE","OC","HE","PO","PB","BW","MH","QR","YB","OH"
1,"4s_3s","PwDom","Prsnt",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",15,2.38,0.46,0.24,0.24,0.55,0.36,1.42,0.00,0.00,0.44,0.00,0.23,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",25,8.59,1.67,0.74,0.97,1.61,1.40,2.48,0.00,0.00,1.65,0.00,0.85,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",35,18.54,3.61,1.42,1.88,2.79,2.66,3.38,0.00,0.00,3.55,0.00,1.84,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",45,31.42,6.14,2.19,2.64,3.82,3.63,4.12,0.00,0.00,5.84,0.00,3.10,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",55,45.95,9.04,2.96,3.14,4.61,4.23,4.69,0.00,0.00,8.18,0.00,4.50,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",65,60.80,12.07,3.64,3.46,5.17,4.59,5.09,0.00,0.00,10.26,0.00,5.87,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",75,74.88,15.03,4.20,3.67,5.53,4.79,5.32,0.00,0.00,11.89,0.00,7.13,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",85,87.39,17.77,4.61,3.79,5.74,4.87,5.42,0.00,0.00,13.02,0.00,8.19,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",95,97.82,20.20,4.87,3.86,5.84,4.87,5.39,0.00,0.00,13.63,0.00,9.01,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",105,105.85,22.23,4.96,3.86,5.86,4.79,5.27,0.00,0.00,13.80,0.00,9.59,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",115,111.33,23.82,4.91,3.82,5.80,4.66,5.06,0.00,0.00,13.60,0.00,9.92,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",125,114.26,24.94,4.74,3.74,5.68,4.47,4.79,0.00,0.00,13.11,0.00,10.02,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",135,114.78,25.60,4.47,3.63,5.51,4.25,4.47,0.00,0.00,12.40,0.00,9.92,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",145,113.10,25.80,4.12,3.48,5.28,4.00,4.11,0.00,0.00,11.55,0.00,9.63,0.00,0.00,0.00,0.00
1,"4s_3s","PwDom","Prsnt",155,109.50,25.57,3.73,3.31,5.02,3.72,3.74,0.00,0.00,10.60,0.00,9.20,0.00,0.00,0.00,0.00
