CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
1,4w,PwDom,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4w,PwDom,Prsnt,15,2.81,0.60,0.28,0.21,0.25,0.30,0.66,0.00,0.00,0.74,0.00,0.29,0.00,0.00,0.00,0.01
1,4w,PwDom,Prsnt,25,9.66,2.05,0.82,0.80,0.71,1.10,1.09,0.00,0.00,2.63,0.00,1.02,0.00,0.00,0.00,0.05
1,4w,PwDom,Prsnt,35,20.55:quote,4.36,1.55,1.53,1.21,2.06,1.47,0.00,0.00,5.57,0.00,2.18,0.00,0.00,0.00,0.12
1,4w,PwDom,Prsnt,45,34.73,7.39,2.37,2.14,1.65,2.81,1.78,0.00,0.00,9.14,0.00,3.67,0.00,0.00,0.00,0.20
1,4w,PwDom,Prsnt,55,50.99,10.92,3.21,2.56,2.00,3.28,2.04,0.00,0.00,12.85,0.00,5.33,0.00,0.00,0.00,0.28
1,4w,PwDom,Prsnt,65,68.02,14.69,3.99,2.84,2.26,3.59,2.23,0.00,0.00,16.24,0.00,7.02,0.00,0.00,0.00,0.38
1,4w,PwDom,Prsnt,75,84.70,18.50,4.66,3.05,2.45,3.79,2.36,0.00,0.00,19.04,0.00,8.62,0.00,0.00,0.00,0.46
1,4w,PwDom,Prsnt,85,100.10,22.16,5.18,3.19,2.57,3.90,2.43,0.00,0.00,21.10,0.00,10.02,0.00,0.00,0.00,0.54
1,4w,PwDom,Prsnt,95,113.51,25.51,5.53,3.29,2.65,3.95,2.45,0.00,0.00,22.39,0.00,11.18,0.00,0.00,0.00,0.61
1,4w,PwDom,Prsnt,105,124.40,28.44,5.71,3.34,2.70,3.94,2.42,0.00,0.00,22.96,0.00,12. 05,0.00,0.00,0.00,0.67
1,4w,PwDom,Prsnt,115,132.46,30.85,5.73,3.34,2.70,3.88,2.36,0.00,0.00,22.90,0.00,12.62,0.00,0.00,0.00,0.71
1,4w,PwDom,Prsnt,125,137.51,32.67,5.59,3.31,2.68,3.77,2.26,0.00,0.00,22.32,0.00,12.89,0.00,0.00,0.00,0.74
1,4w,PwDom,Prsnt,135,139.57,33.88,5.32,3.24,2.62,3.62,2.13,0.00,0.00,21.34,0.00,12.89,0.00,0.00,0.00,0.75
1,4w,PwDom,Prsnt,145,138.79,34.46,4.95,3.14,2.54,3.43,1.98,0.00,0.00,20.05,0.00,12.63,0.00,0.00,0.00,0.75
1,4w,PwDom,Prsnt,155,135.43,34.43,4.52,3.00,2.43,3.22,1.81,0.00,0.00,18.56,0.00,12.16,0.00,0.00,0.00,0.73
1,4w,PwDom,Prsnt,165,129.84,33.83,4.04,2.85,2.31,2.99,1.63,0.00,0.00,16.94,0.00,11.52,0.00,0.00,0.00,0.71
1,4w,PwDom,Prsnt,175,122.44,32.73,3.54,2.67,2.16,2.75,1.45,0.00,0.00,15.27,0.00,10.75,0.00,0.00,0.00,0.67
1,4w,PwDom,Prsnt,185,113.65,31.19,3.06,2.48,2.01,2.50,1.28,0.00,0.00,13.60,0.00,9.89,0.00,0.00,0.00,0.62
1,4w,PwDom,Prsnt,195,103.92,29.30,2.59,2.28,1.85,2.24,1.11,0.00,0.00,11.97,0.00,8.97,0.00,0.00,0.00,0.57
1,4w,PwDom,Prsnt,205,93.67,27.16,2.16,2.07,1.68,1.99,0.95,0.00,0.00,10.41,0.00,8.03,0.00,0.00,0.00,0.52
1,4w,PwDom,Prsnt,215,83.26,24.83,1.78,1.86,1.51,1.75,0.80,0.00,0.00,8.96,0.00,7.10,0.00,0.00,0.00,0.46
1,4w,PwDom,Prsnt,225,73.02,22.42,1.44,1.66,1.34,1.52,0.67,0.00,0.00,7.62,0.00,6.20,0.00,0.00,0.00,0.41
1,4w,PwDom,Prsnt,235,63.20,19.98,1.15,1.46,1.18,1.31,0.55,0.00,0.00,6.42,0.00,5.35,0.00,0.00,0.00,0.35
1,4w,PwDom,Prsnt,245,54.01,17.60,0.90,1.27,1.03,1.11,0.45,0.00,0.00,5.34,0.00,4.56,0.00,0.00,0.00,0.30
1,4w,PwDom,Prsnt,255,45.58,15.31,0.70,1.09,0.89,0.94,0.36,0.00,0.00,4.40,0.00,3.84,0.00,0.00,0.00,0.25
2,4w,PwDom,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,4w,PwDom,Exten,15,2.16,0.55,0.23,0.12,0.32,0.40,0.55,0.00,0.00,0.81,0.00,0.14,0.00,0.02,0.00,0.02
2,4w,PwDom,Exten,25,7.42,1.88,0.68,0.44,0.89,1.48,0.91,0.00,0.00,2.88,0.00,0.50,0.00,0.07,0.00,0.07
2,4w,PwDom,Exten,35,15.86,4.03,1.30,0.86,1.52,2.78,1.23,0.00,0.00,6.12,0.00,1.07,0.00,0.15,0.00,0.15
2,4w,PwDom,Exten,45,26.98,6.88,2.01,1.20,2.10,3.80,1.51,0.00,0.00,10.11,0.00,1.81,0.00,0.26,0.00,0.25
2,4w,PwDom,Exten,55,39.85,10.22,2.73,1.45,2.56,4.47,1.73,0.00,0.00,14.30,0.00,2.64,0.00,0.38,0.00,0.36
2,4w,PwDom,Exten,65,53.45,13.83,3.42,1.62,2.90,4.92,1.91,0.00,0.00,18.17,0.00,3.50,0.00,0.51,0.00,0.48
2,4w,PwDom,Exten,75,66.84,17.49,4.00,1.74,3.15,5.21,2.02,0.00,0.00,21.40,0.00,4.32,0.00,0.64,0.00,0.60
2,4w,PwDom,Exten,85,79.30,21.03,4.47,1.83,3.33,5.39,2.09,0.00,0.00,23.80,0.00,5.04,0.00,0.77,0.00,0.71
2,4w,PwDom,Exten,95,90.23,24.29,4.79,1.89,3.45,5.48,2.12,0.00,0.00,25.34,0.00,5.64,0.00,0.87,0.00,0.80
2,4w,PwDom,Exten,105,99.19,27.16,4.96,1.93,3.51,5.48,2.10,0.00,0.00,26.07,0.00,6.10,0.00,0.96,0.00,0.87
2,4w,PwDom,Exten,115,105.89,29.54,4.98,1.94,3.53,5.40,2.05,0.00,0.00,26.07,0.00,6.40,0.00,1.02,0.00,0.93
2,4w,PwDom,Exten,125,110.18,31.36,4.87,1.92,3.50,5.26,1.97,0.00,0.00,25.47,0.00,6.56,0.00,1.07,0.00,0.97
2,4w,PwDom,Exten,135,112.06,32.58,4.65,1.89,3.44,5.06,1.86,0.00,0.00,24.39,0.00,6.57,0.00,1.09,0.00,0.99
