CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
76,5e,CE1,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,5e,CE1,Exten,15,3.53819247324014e-03,0.00,0.00,3.80322387821414e-03,0.01,0.01,0.35,0.01,3.24022750097755e-03,3.67267866824579e-03,0.00,4.114203814284e-04,3.59248383179264e-04,0.00,0.00,7.68516289656612e-04
76,5e,CE1,Exten,25,0.07,0.00,0.00,0.09,0.26,0.26,3.72,0.18,0.04,0.08,0.00,9.07156401867598e-03,7.6205989442448e-03,0.00,0.00,0.01
76,5e,CE1,Exten,35,0.44,0.00,0.00,0.47,1.25,1.35,13.73,0.69,0.17,0.47,0.00,0.05,0.04,0.00,0.00,0.08
76,5e,CE1,Exten,45,1.33,0.00,0.00,1.15,3.01,3.23,29.30,1.49,0.42,1.38,0.00,0.15,0.12,0.00,0.00,0.25
76,5e,CE1,Exten,55,2.62,0.00,0.00,1.85,4.91,5.10,45.04,2.29,0.71,2.61,0.00,0.30,0.24,0.00,0.00,0.49
76,5e,CE1,Exten,65,4.04,0.00,0.00,2.38,6.39,6.43,56.79,2.88,0.96,3.81,0.00,0.46,0.38,0.00,0.00,0.75
76,5e,CE1,Exten,75,5.37,0.00,0.00,2.72,7.38,7.24,64.13,3.26,1.16,4.77,0.00,0.60,0.50,0.00,0.00,0.99
76,5e,CE1,Exten,85,6.58,0.00,0.00,2.95,8.04,7.72,68.41,3.47,1.32,5.47,0.00,0.73,0.61,0.00,0.00,1.20
76,5e,CE1,Exten,95,7.66,0.00,0.00,3.12,8.52,8.03,70.87,3.60,1.46,5.96,0.00,0.84,0.71,0.00,0.00,1.39
76,5e,CE1,Exten,105,8.63,0.00,0.00,3.26,8.90,8.24,72.13,3.66,1.58,6.29,0.00,0.93,0.80,0.00,0.00,1.56
76,5e,CE1,Exten,115,9.50,0.00,0.00,3.37,9.21,8.37,72.48,3.68,1.70,6.48,0.00,1.00,0.88,0.00,0.00,1.72
76,5e,CE1,Exten,125,10.24,0.00,0.00,3.47,9.48,8.45,72.07,3.66,1.80,6.56,0.00,1.06,0.95,0.00,0.00,1.85
76,5e,CE1,Exten,135,10.87,0.00,0.00,3.55,9.70,8.48,71.03,3.61,1.89,6.55,0.00,1.11,1.02,0.00,0.00,1.97
76,5e,CE1,Exten,145,11.38,0.00,0.00,3.62,9.89,8.47,69.45,3.53,1.98,6.48,0.00,1.15,1.07,0.00,0.00,2.06
76,5e,CE1,Exten,155,11.77,0.00,0.00,3.67,10.05,8.43,67.45,3.42,2.06,6.36,0.00,1.17,1.12,0.00,0.00,2.14
76,5e,CE1,Exten,165,12.06,0.00,0.00,3.72,10.19,8.37,65.10,3.31,2.13,6.21,0.00,1.19,1.16,0.00,0.00,2.20
76,5e,CE1,Exten,175,12.26,0.00,0.00,3.76,10.30,8.28,62.49,3.17,2.20,6.03,0.00,1.19,1.19,0.00,0.00,2.25
76,5e,CE1,Exten,185,12.37,0.00,0.00,3.80,10.40,8.18,59.71,3.03,2.26,5.84,0.00,1.19,1.22,0.00,0.00,2.28
76,5e,CE1,Exten,195,12.40,0.00,0.00,3.82,10.47,8.06,56.80,2.88,2.32,5.63,0.00,1.19,1.24,0.00,0.00,2.29
76,5e,CE1,Exten,205,12.37,0.00,0.00,3.85,10.54,7.93,53.82,2.73,2.37,5.42,0.00,1.18,1.26,0.00,0.00,2.30
76,5e,CE1,Exten,215,12.28,0.00,0.00,3.86,10.59,7.79,50.82,2.58,2.42,5.21,0.00,1.16,1.27,0.00,0.00,2.29
76,5e,CE1,Exten,225,12.14,0.00,0.00,3.88,10.63,7.64,47.85,2.43,2.46,5.00,0.00,1.14,1.28,0.00,0.00,2.28
76,5e,CE1,Exten,235,11.96,0.00,0.00,3.89,10.66,7.48,44.92,2.28,2.50,4.79,0.00,1.12,1.28,0.00,0.00,2.25
76,5e,CE1,Exten,245,11.76,0.00,0.00,3.90,10.68,7.32,42.06,2.13,2.54,4.59,0.00,1.10,1.28,0.00,0.00,2.22
76,5e,CE1,Exten,255,11.52,0.00,0.00,3.90,10.70,7.16,39.30,1.99,2.57,4.39,0.00,1.08,1.28,0.00,0.00,2.19
77,5e,CE1,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,5e,CE1,Intn1,15,3.53819247324014e-03,0.00,0.00,3.80322387821414e-03,0.01,0.01,0.35,0.01,3.24022750097755e-03,3.67267866824579e-03,0.00,4.114203814284e-04,3.59248383179264e-04,0.00,0.00,7.68516289656612e-04
77,5e,CE1,Intn1,25,0.07,0.00,0.00,0.09,0.26,0.26,3.72,0.18,0.04,0.08,0.00,9.07156401867598e-03,7.6205989442448e-03,0.00,0.00,0.01
77,5e,CE1,Intn1,35,0.44,0.00,0.00,0.47,1.25,1.35,13.73,0.69,0.17,0.47,0.00,0.05,0.04,0.00,0.00,0.08
77,5e,CE1,Intn1,45,1.33,0.00,0.00,1.15,3.01,3.23,29.30,1.49,0.42,1.38,0.00,0.15,0.12,0.00,0.00,0.25
77,5e,CE1,Intn1,55,2.62,0.00,0.00,1.85,4.91,5.10,45.04,2.29,0.71,2.61,0.00,0.30,0.24,0.00,0.00,0.49
77,5e,CE1,Intn1,65,4.04,0.00,0.00,2.38,6.39,6.43,56.79,2.88,0.96,3.81,0.00,0.46,0.38,0.00,0.00,0.75
77,5e,CE1,Intn1,75,5.37,0.00,0.00,2.72,7.38,7.24,64.13,3.26,1.16,4.77,0.00,0.60,0.50,0.00,0.00,0.99
77,5e,CE1,Intn1,85,6.58,0.00,0.00,2.95,8.04,7.72,68.41,3.47,1.32,5.47,0.00,0.73,0.61,0.00,0.00,1.20
77,5e,CE1,Intn1,95,7.66,0.00,0.00,3.12,8.52,8.03,70.87,3.60,1.46,5.96,0.00,0.84,0.71,0.00,0.00,1.39
77,5e,CE1,Intn1,105,8.63,0.00,0.00,3.26,8.90,8.24,72.13,3.66,1.58,6.29,0.00,0.93,0.80,0.00,0.00,1.56
77,5e,CE1,Intn1,115,9.50,0.00,0.00,3.37,9.21,8.37,72.48,3.68,1.70,6.48,0.00,1.00,0.88,0.00,0.00,1.72
77,5e,CE1,Intn1,125,10.24,0.00,0.00,3.47,9.48,8.45,72.07,3.66,1.80,6.56,0.00,1.06,0.95,0.00,0.00,1.85
77,5e,CE1,Intn1,135,10.87,0.00,0.00,3.55,9.70,8.48,71.03,3.61,1.89,6.55,0.00,1.11,1.02,0.00,0.00,1.97
77,5e,CE1,Intn1,145,11.38,0.00,0.00,3.62,9.89,8.47,69.45,3.53,1.98,6.48,0.00,1.15,1.07,0.00,0.00,2.06
77,5e,CE1,Intn1,155,11.77,0.00,0.00,3.67,10.05,8.43,67.45,3.42,2.06,6.36,0.00,1.17,1.12,0.00,0.00,2.14
