
Pice_mar: blackSpruce_ON

Pice_gla: spruce_ON
Pice_rub: spruce_ON

Abie_bal: balsamFir_ON

Pinu_ban: pine_boreal_ON

Pinu_res: pine_temperate_ON
Pinu_str: pine_temperate_ON

Lari_lar: otherConifer_ON
Thuj_occ: otherConifer_ON
Tsug_can: otherConifer_ON

Popu_tre: broadleaf_boreal_ON
Popu_bal: broadleaf_boreal_ON
Betu_pap: broadleaf_boreal_ON

Betu_all: broadleaf_temperate_ON
Acer_sah: broadleaf_temperate_ON
Acer_rub: broadleaf_temperate_ON
Quer_rub: broadleaf_temperate_ON
Fagu_gra: broadleaf_temperate_ON
