"AU","age","volume"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
1,30,1
2,30,15
3,30,0
4,30,0
5,30,0
6,30,0
7,30,0
8,30,0
1,40,2
2,40,35
3,40,0
4,40,0
5,40,0
6,40,0
7,40,0
8,40,0
1,50,3.5
2,50,61.9
3,50,3.6
4,50,61.9
5,50,15.7
6,50,50
7,50,18.9
8,50,22.2
1,60,7.1
2,60,123.8
3,60,7.2
4,60,123.8
5,60,31.3
6,60,99.9
7,60,51.6
8,60,90.1
1,70,10.4
2,70,163.2
3,70,10.9
4,70,159.2
5,70,50.8
6,70,133
7,70,85
8,70,105.8
1,80,13.7
2,80,202.7
3,80,14.6
4,80,194.7
5,80,70.3
6,80,166.1
7,80,118.4
8,80,121.4
1,90,18.6
2,90,211.7
3,90,35.2
4,90,194.9
5,90,88.4
6,90,169.6
7,90,145
8,90,115.8
1,100,23.5
2,100,220.7
3,100,55.9
4,100,195.1
5,100,106.6
6,100,173.2
7,100,171.6
8,100,110.3
1,110,28.5
2,110,218.6
3,110,91.2
4,110,183.1
5,110,119.8
6,110,166.2
7,110,186.2
8,110,100.2
1,120,33.5
2,120,216.6
3,120,126.6
4,120,171
5,120,133.1
6,120,159.3
7,120,200.9
8,120,90.1
1,130,37
2,130,209.7
3,130,149.8
4,130,154.8
5,130,139.3
6,130,149.5
7,130,206.7
8,130,80.4
1,140,40.6
2,140,202.8
3,140,173.1
4,140,138.5
5,140,145.5
6,140,139.7
7,140,212.5
8,140,70.8
1,150,43
2,150,151.4
3,150,189.9
4,150,106.8
5,150,151.1
6,150,104.8
7,150,209.9
8,150,52.9
1,160,45.3
2,160,100
3,160,206.8
4,160,75
5,160,156.6
6,160,70
7,160,207.3
8,160,35
1,170,46.3
2,170,50
3,170,209.4
4,170,37.5
5,170,153.3
6,170,35
7,170,197.9
8,170,17.5
1,180,47.3
2,180,0
3,180,212
4,180,0
5,180,150
6,180,0
7,180,188.4
8,180,0
1,190,47.3
2,190,0
3,190,212
4,190,0
5,190,150
6,190,0
7,190,174.7
8,190,0
1,200,47.3
2,200,0
3,200,212
4,200,0
5,200,150
6,200,0
7,200,161
8,200,0
